Down_regulated,Gene_Symbol,log2(T/C),P-value (DE)
PH_rn_0026077,LOC100912730,-1.338468,0.000047
PH_rn_0026173,E2f2,-1.394022,0.0000171
PH_rn_0026698,LOC102546648,-1.12664,0.0000758
PH_rn_0026875,Hells|LOC100911964|LOC100911660,-1.310392,0.0000546
PH_rn_0027025,LOC102554310,-1.229468,0.013574994
PH_rn_0027030,LOC102549542,-1.585088,0.0000589
PH_rn_0027120,Disp2,-1.227798,2.36E-08
PH_rn_0027144,Nkx2-2,-1.524327,1.93E-09
PH_rn_0027187,Samd10,-1.295659,0.0000999
PH_rn_0027218,LOC102551067,-1.105263,0.00178913
PH_rn_0027263,Aak1,-1.258615,0.004115661
PH_rn_0027325,Caprin2,-1.088659,0.000384944
PH_rn_0027488,Atxn7l4,-1.003165,0.027507782
PH_rn_0027612,Agap2,-1.573745,1.63E-11
PH_rn_0027636,Commd5|LOC100910472,-1.05825,3.88E-08
PH_rn_0028023,Sdk2,-1.182636,0.000101113
PH_rn_0028034,LOC100911734,-1.234951,0.0000188
PH_rn_0028136,LOC102555038,-1.002802,0.003166851
PH_rn_0028171,LOC102550903,-1.401664,0.00000585
PH_rn_0028188,LOC690085,-1.845322,0.00000811
PH_rn_0028207,RGD1560523|Mat2a,-1.461044,8.06E-08
PH_rn_0028571,Zfp192,-1.207082,0.000016249
PH_rn_0028643,Tnfaip8,-1.12926,0.007528134
PH_rn_0028753,Hmga1,-1.050792,0.004538466
PH_rn_0028789,LOC100910506,-1.115269,0.006859878
PH_rn_0028810,Prps2|LOC100910245,-1.312474,0.027462199
PH_rn_0028904,RGD1565692|Suv39h1,-1.046166,0.048557766
PH_rn_0029152,Slc39a10,-1.26662,4.05E-09
PH_rn_0029174,LOC102548389|LOC102548303|Zfp958,-1.098835,2.19E-08
